partner_key,partner_item,location_code,snapshot_date,qty_on_hand,qty_reserved,qty_available
13,DISP-27Q-EU,DE-HAM,2025-12-28,31,5,26
13,NOTE-15G-DE,DE-FRA,2025-01-28,8,3,5
13,DISP-24-EU,DE-FRA,2025-02-28,58,2,56
13,DISP-27Q-EU,DE-FRA,2025-03-28,8,4,4
13,DISP-34U-EU,DE-FRA,2025-04-28,1,1,0
13,ELEC-43-EU,DE-FRA,2025-05-28,19,8,11
13,ELEC-55-EU,DE-FRA,2025-06-28,13,5,8
13,ELEC-65-EU,DE-FRA,2025-07-28,5,4,1
13,NOTE-14-DE,DE-FRA,2025-08-28,25,8,17
13,NOTE-16P-DE,DE-FRA,2025-09-28,54,6,48
13,NOTE-15G-DE,DE-FRA,2025-10-28,30,2,28
13,DISP-24-EU,DE-FRA,2025-11-28,24,2,22
13,DISP-27Q-EU,DE-FRA,2025-12-28,24,8,16
14,NIM-CV24,GB-WEB,2025-01-28,17,6,11
14,NIM-CV27Q,GB-WEB,2025-02-28,45,0,45
14,NIM-H34,GB-WEB,2025-03-28,46,7,39
14,NIM-V43,GB-WEB,2025-04-28,35,3,32
14,NIM-V55Q,GB-WEB,2025-05-28,6,3,3
14,NIM-V65Q,GB-WEB,2025-06-28,1,0,1
14,NIM-AB14,GB-WEB,2025-07-28,1,0,1
14,NIM-AB16PRO,GB-WEB,2025-08-28,28,7,21
14,NIM-PB15,GB-WEB,2025-09-28,36,4,32
14,NIM-CV24,GB-WEB,2025-10-28,28,4,24
14,NIM-CV27Q,GB-WEB,2025-11-28,21,0,21
14,NIM-H34,GB-WEB,2025-12-28,46,1,45
15,RL-CV27Q-A,RL-LON,2025-01-28,26,0,26
15,RL-H34-B,RL-LON,2025-02-28,47,2,45
15,RL-V43-A,RL-LON,2025-03-28,42,5,37
15,RL-V55X2-A,RL-LON,2025-04-28,58,0,58
15,RL-V65X2-B,RL-LON,2025-05-28,30,4,26
15,RL-AB14-B,RL-LON,2025-06-28,37,2,35
15,RL-AB16P-B,RL-LON,2025-07-28,5,1,4
15,RL-PB15-C,RL-LON,2025-08-28,50,4,46
15,RL-CV24-A,RL-LON,2025-09-28,54,8,46
15,RL-CV27Q-A,RL-LON,2025-10-28,53,3,50
15,RL-H34-B,RL-LON,2025-11-28,11,8,3
15,RL-V43-A,RL-LON,2025-12-28,36,1,35
15,RL-CV27Q-A,RL-MAN,2025-01-28,51,3,48
15,RL-H34-B,RL-MAN,2025-02-28,28,1,27
15,RL-V43-A,RL-MAN,2025-03-28,14,4,10
15,RL-V55X2-A,RL-MAN,2025-04-28,35,2,33
15,RL-V65X2-B,RL-MAN,2025-05-28,4,4,0
15,RL-AB14-B,RL-MAN,2025-06-28,15,1,14
15,RL-AB16P-B,RL-MAN,2025-07-28,27,6,21
15,RL-PB15-C,RL-MAN,2025-08-28,15,2,13
15,RL-CV24-A,RL-MAN,2025-09-28,16,1,15
15,RL-CV27Q-A,RL-MAN,2025-10-28,38,3,35
15,RL-H34-B,RL-MAN,2025-11-28,55,1,54
15,RL-V43-A,RL-MAN,2025-12-28,9,6,3
16,GS-MN-U134,DXB-01,2025-01-28,53,4,49
16,GS-TV-A143,DXB-01,2025-02-28,35,0,35
16,GS-TV-X255,DXB-01,2025-03-28,57,8,49
16,GS-TV-X265,DXB-01,2025-04-28,41,3,38
16,GS-NB-E314,DXB-01,2025-05-28,50,4,46
16,GS-NB-P416,DXB-01,2025-06-28,51,7,44
16,GS-NB-G215,DXB-01,2025-07-28,60,5,55
16,GS-MN-F224,DXB-01,2025-08-28,0,0,0
16,GS-MN-Q327,DXB-01,2025-09-28,50,7,43
16,GS-MN-U134,DXB-01,2025-10-28,23,5,18
16,GS-TV-A143,DXB-01,2025-11-28,57,4,53
16,GS-TV-X255,DXB-01,2025-12-28,14,5,9
16,GS-MN-U134,DXB-02,2025-01-28,35,0,35
16,GS-TV-A143,DXB-02,2025-02-28,25,5,20
16,GS-TV-X255,DXB-02,2025-03-28,2,2,0
16,GS-TV-X265,DXB-02,2025-04-28,25,2,23
16,GS-NB-E314,DXB-02,2025-05-28,43,6,37
16,GS-NB-P416,DXB-02,2025-06-28,51,0,51
16,GS-NB-G215,DXB-02,2025-07-28,60,6,54
16,GS-MN-F224,DXB-02,2025-08-28,59,7,52
16,GS-MN-Q327,DXB-02,2025-09-28,48,0,48
16,GS-MN-U134,DXB-02,2025-10-28,60,1,59
16,GS-TV-A143,DXB-02,2025-11-28,11,1,10
16,GS-TV-X255,DXB-02,2025-12-28,30,4,26
